Shape,B,H,SG,KG,GM,Status
Semicircle,16.337773763484194,8.168886881742097,0.22242870247419394,9.553811375910898,-1.3882653914282912,0
Rectangle,4.808335527963857,4.807901366051648,0.10459859543810748,6.246734211768993,-2.1641544059431963,0
Semicircle,2.370520897324444,1.185260448662222,0.9617152610322747,1.4799920068810093,-0.29499708501318334,0
Triangle,2.014017785138258,19.859808067241914,0.6304326190500535,18.22097155652876,-7.681512984688547,0
Rectangle,9.775010335558083,7.242124523564755,0.6251417210390368,1.5153478636723152,2.5070979485157725,1
Semicircle,10.209259715906647,5.104629857953324,0.7880654037094328,1.528891125384046,3.574589575370462,1
Semicircle,19.69815594452219,9.849077972261094,0.4887571196531011,12.704430176165912,-2.8582534052008324,0
Semicircle,5.069434226371247,2.5347171131856236,0.11114849740616274,3.607734614595538,-1.0733112707607066,0
Triangle,16.551152266096302,7.483047845120672,0.14181178716600085,7.680222711903287,-3.5039386620443658,0
Semicircle,14.298743338858248,7.149371669429124,0.6233968583156637,8.93523014561855,-1.7863409312800744,0
Semicircle,18.36776723741808,9.18388361870904,0.2932531827040159,9.126791331462341,0.06079166902707556,1
Triangle,9.652805740842405,5.742949931627399,0.583638308150792,0.2697460061500183,4.721006547853412,1
Triangle,15.952390820500062,18.910980948155405,0.8911377094019899,16.960312662298428,-2.941806268700569,0
Semicircle,3.592865036934551,1.7964325184672756,0.23422389067399646,0.12187165878150748,1.6763679647910705,1
Rectangle,8.996191214410675,6.884282571930126,0.8290132586028136,3.6839860641521573,0.35131839867713843,1
Rectangle,4.536636049545727,16.439545653572715,0.12007760505898457,24.335959273738087,-22.480118645224458,0
Rectangle,5.576882267615103,2.099398108224843,0.8165337427475441,2.2259624556877875,0.143086016006587,1
Semicircle,16.2231597295617,8.11157986478085,0.6196023762941507,11.27064533231654,-3.1586733795313275,0
Triangle,4.085643071452335,17.535861665760685,0.6359002392179045,8.703872983934247,0.7450966268675767,1
Semicircle,7.59768179088192,3.79884089544096,0.3556723227051422,4.157486681755541,-0.3590678765058355,0
Triangle,17.96982936637388,10.499868652915087,0.16241859118200358,11.233464874826725,-6.3467006488215185,0
Rectangle,14.991131380967717,6.247728555481204,0.2907042233956445,0.3789271379397954,10.840509027813367,1
Semicircle,9.695738330453892,4.847869165226946,0.07389397913944948,0.7845652831697623,4.056484183377896,1
Semicircle,18.123744722123348,9.061872361061674,0.496848009791185,7.656497006030995,1.4017880596151544,1
Triangle,4.507966179305763,12.87951282700071,0.5574506258235727,3.9229944729569044,2.684135287781506,1
Rectangle,3.3856383769182736,7.215526152447825,0.20154801001876416,10.062386586520772,-8.678418525683888,0
